direct_object,unique_verbs
a large screen television,['saw']
last,['understand']
last action,['repeat']
the last action,['undo']
the last location,['go']
last occupants,['think' 'were' 'was' 'know' 'do']
the last occupants,['were' 'do' 'think' 'speakrs']
the last one,"['is' 'do' ""there's"" 'saw']"
the last opening on the left,['move']
last request,['uh' 'cancel']
le,['rotate']
a left,['make']
the left,"[nan 'turn' 'rotate' 'proceed' 'move' 'see' 'pull' 'face' 'go' 'said'
 'moved']"
left,"['go' 'turn' 'move' 'face' 'turning' 'make' 'continue' 'leave' 'pivot'
 'left' 'to' 'rotate' 'look' 'meant' 'take' 'stop' 'going']"
the left door,['move']
left door,['move']
the left doorway,['move']
the left entranceway door entranceway,['move' 'stop']
left five degrees,['turn']
left forty five degrees,['turn']
left front,['go' 'through']
the left hundred and twenty degrees,['turn']
left ninety degrees,['turn']
the left side,['face']
left turn,['make' 'turn']
a left turn,['take']
left two hundred seventy degrees,['turn']
left two meters,['go']
light,['get']
a light,['was']
lights,"[""there's""]"
like,['think' 'looks']
like a bag,['could' 'was' 'is']
like ten,['had']
listo,['estoy']
a little,['turn']
a little bit,['turn' 'go' 'see' 'back up' 'back' 'asking' 'is' 'make' 'can' 'move']
a little bit forward,['move']
a little bit more,['turn']
a little bit too far,['was']
a little further back,['move' 'see']
a little more,['turn']
a little more to the left,['turn']
little shopping bag,['saw' 'like' 'think']
a live view,['show']
the location,['go' 'took' 'sent']
location,['go' 'sent' 'spoke' 'took']
long,['see']
looking straight,['stay']
a lot,"[""there's""]"
a lot more,['were' 'got']
a lot of examples,['have']
a lot of stuff,"['see' ""could've""]"
a lot of things,['found' 'were' nan]
lots of plants,['umm']
luggage,['move']
the main hall,['exit' 'move']
the main hallway,['return']
male,['are']
man,['thank' 'appreciate' 'help']
many um posters,['believe' 'saw' 'had']
map,['saw' 'take' 'be' 'move' 'do' 'see' 'was' 'are' 'go']
the map,['found' 'cover' 'take' 'was' 'could use' 'coordinate']
a map of north africa,['was']
a map of the middle east,['were']
the maps,['cause' 'was']
maps,['were' 'indicate' 'noticed' 'was' 'saw']
mat,['be']
materials,['see' 'do' 'explain']
maybe that was their only supply of this cleaning stuff or whatever,['saw' 'figured']
me,"['see' 'tell' 'show' 'send' 'excuse' 'help' 'find' 'seems' ""there's"" 'say'
 'let' 'know' 'move' 'asking' 'is' 'can' 'provide' 'think' 'found' 'be'
 'confirm' 'consider' 'take' 'cool' 'give' 'turn' 'teaming up' 'hear'
 'looking' 'looked' 'were' 'meant' 'do']"
message,['send']
a meter,['move']
meter,['go' 'turn']
meters,[nan 'go']
middle east map,['was' 'guessing' 'had']
middle eastern writing,['cause' 'was']
the middle of the hallway,['move']
the middle of the next room,['proceed']
the middle of the room,['move' 'proceed' 'go']
military hats,['was']
minimum of nine,['saw']
minimum six,['saw']
mo,['keep' 'moving' 'move']
a monitor,['see']
monitor,['um']
monitor table,['saw']
more,['uh' 'show']
mouth,['clicked' 'opened' 'given']
mov,['saw']
move,['think' 'use']
move down,['continue']
movement,['stop']
movie,['was' 'is']
a movie poster,['were']
movie posters,['cause' 'looks']
moving,['keep' 'start' 'move' 'continue' 'stop' 'hit' 'tell' 'begin' 'moving']
moving forward,['start' 'keep' 'run' 'can']
much,['carry']
my cones,['searching']
my hand,['take']
my joke,['remember']
my previous command,['repeat']
my right,['turn']
na,['ah' 'sorry']
a name,['do' 'have']
ne,['turn']
the nearest cone on the east side,['go']
the nearest doorway,['go through' 'go' 'move' 'proceed']
nearest doorway,['move']
the nearest doorway on the right,['go']
nearest doorwell,['go']
the nearest orange object,['go']
nearest orange object,['move']
the nearest shoe,['go']
the nearest traffic cone,['face']
a nefarious looking academic poster,['was']
nevermind,['nevermind' 'wait']
a new doorway,['go through' 'see']
news,[nan]
newspaper,"['did' 'catch' 'were' 'saw' 'think' 'was' 'like' 'move' nan 'recognized'
 'seemed' 'have' 'read' 'hanging' 'is' 'looked']"
a newspaper,['saw' 'found' 'see']
the newspaper,['move']
a newspaper in arabic,['were']
the newspapers,['move']
newspapers,[nan]
the next cone,['go' 'move' 'proceed']
next door,['walk']
next doorway,['move' 'find' 'go']
the next doorway,"[nan 'move' 'going' 'locate' 'go' 'reach' 'navigate' 'through' 'turn'
 'travel' 'take']"
the next doorway closest to you,['move']
the next doorway on the left,['navigate' 'turn' 'continue' 'move']
the next hallway,['move']
the next nearest doorway,['proceed']
the next one,['completed' 'set up' 'move']
the next room,"['go' 'proceed' 'see' 'open' 'turn' 'enter' 'move' 'navigate' 'continue'
 'move around']"
next room,['navigate' 'continue']
the next room on the right,['go']
next shovel,['locate']
a ni ninety five degree turn,['make' 'turn']
nin degree,['turn']
nine,['turn' 'were' 'got' 'counted' 'thought']
nine degrees,['move']
nine doorways,['found' 'saw' 'counted']
nine feet,[nan 'turn' 'go' 'move']
nine uh forty five degrees,['turn']
nineteen feet,['move']
ninety,['turn' 'rotate']
ninety degree,['turn']
a ninety degree,['make']
ninety degree angle,['turn']
a ninety degree turn,['make' 'turn' 'do']
a ninety degree turn right,['make']
ninety degrees,"['turn' 'move' 'rotate' 'go' 'turning' 'travel' 'pivot' 'stop' 'face' nan
 'is' 'uh' 'left' 'wanna']"
ninety degrees left,['rotate' 'pivot' 'turn']
ninety degrees right,['rotate' 'move' 'turn' 'pivot']
ninety degrees south,['turn']
ninety degrees straight,['go']
ninety degrees to the left,['turn' 'face']
ninety degrees to the right,['turn']
ninety degrees to the right down the hallway,['turn']
ninety degrees west,['turn']
ninety five de,['turn']
ninety five degrees,['turn']
ninety north,['turn']
ninety six degrees,['move']
nintety,['turn']
nnn,['turn']
no,['saw']
no idea,['have']
a no smoking sign,['see' 'looks like']
the no smoking sign,['go']
no worries,['see']
a non a no smoking sign,['saw' 'looked']
non latin script,['had' 'were']
the non smoking sign,['was']
nope,['get' 'turn']
north,"['turn' 'pivot' 'take' 'orient' 'face' 'move' 'go' 'exit' 'encounter'
 'walk' 'uh' 'are' 'facing' 'hit' 'heading' 'travel' 'passing' 'look'
 'continue' nan 'proceed' 'okay' 'head' 'point' 'rotate']"
the north,['turn' 'move' 'scan' 'look' 'go']
north about four feet,['move']
north as far as you can,['go']
the north door,['go through']
north east,['proceed']
north end,['proceed']
the north entrance,['go']
the north forty five degrees,['turn']
north forty five degrees,['turn']
the north opening,['move']
north side,['cruise']
the north side,[nan 'scan']
north thirty degrees,['turn']
a north turn,['take']
north twenty five degrees,['turn']
the north wall,['face']
north west,['face']
the north west entrance,['go']
northbound,['move']
northeast,['turn' 'face' 'pivot' 'move' 'travel' 'head' 'go' 'please']
the northeast,['move' 'go']
the northeast room,['move']
the northern opening,['move']
the northwest,['turn']
northwest,"['turn' 'seems' ""there's"" 'face' 'pivot' 'please' 'move' 'go' 'said']"
northwest ahead of you,['go']
northwest entrance,['go']
northwesterly direction,['proceed']
the northwestern opening,['move']
not english speakers,['assume' 'means' 'were']
not fifty feet,['move']
not letting you know,['apologize' 'letting']
a note,['make' 'indicates']
nothing,['made' 'stand out' 'think']
now,['please']
the number,['tell' 'find out']
number,['found' 'tell' 'count']
the number of doorways,['can' 'provide' 'move' 'find' 'need']
the object,"['is' 'take' 'turn' 'face' 'facing' 'move' 'describe' 'go' 'zoom in'
 'manipulate']"
a object,['find']
object,"['move' 'forward' 'facing' 'took' 'is' 'take' 'be' 'find' 'see' 'can'
 'like' nan 'approach' 'get' 'turn' 'examine' 'travel' 'positioned' 'go'
 'lying' 'keep going' 'come' 'pass' 'know' 'hit' 'was' 'realize' 'mo']"
an object,"['move' 'encounter' 'looking' ""there's"" 'believe' 'searching']"
the object ahead,['get']
object ahead,['move']
the object closest to the wall,['go']
the object in front of you,['tell' 'has']
the object on the left,['is']
object t,['move']
the object that a human being wears,['wears']
the object to your left,['is']
the objects,['go' 'like' 'identify']
objects,"['move' 'see' 'be' 'locate' 'run' 'saw' 'suggest' 'eat' 'are' 'take'
 'keep' 'go' 'seemed' 'could' 'use' 'was' 'exist' 'were' 'indicate' 'do'
 'look' 'tell' 'looking' 'looks like' 'could be' 'had to' 'stop']"
obstacle,['get' 'move' 'navigate']
an obstacle,['walk' 'meet' 'move' 'encounter' 'hit' 'go']
the obstacle,['walk' 'meet']
obstacles,['to be']
obstruction,['walk' 'meet' 'is' 'watch']
an obstruction,['walking' 'hit' 'walk' 'see' 'meet']
the obstruction,['show' 'is' 'move' 'take' 'go']
a obstruction,['come' 'go']
occupancy of the facility,['were' 'indicate']
occupants,['were']
occupation,['seems' 'saw']
occupied,['do' 'think' 'indicates' 'has been']
of a foreign language,['say' 'were']
office chairs,['had' 'were' 'spoke']
an oil barrel,['like']
oil barrels,['like']
ok,['stop' 'aw']
okat,['move']
okay,['is' 'see' 'go' 'sure']
on,['appears' 'be' 'can' 'go']
on the right,['pull']
on the walls,['saw' 'thought']
one,"[nan 'go' 'see' 'tell' 'move' 'got' 'saw' 'turn' 'rotate' 'found' 'were'
 'looked' 'counting' 'gonna' 'say' 'be' 'proceed' 'um' 'took' 'think'
 'was' ""there's"" '.' 'okay' 'uh' 'is']"
the one,['go' 'be' 'mean' nan 'were' 'move']
the one ahead of you,['um']
one and a half feet,['move']
one and a half meters,['go']
one and half meters,['move']
one barrel shaped object,"['found' ""don't"" 'assuming']"
one box,['saw' 'was' 'found']
one chair,['was']
the one closest to you,['go']
one cone,['is' 'found' 'saw']
one container,['think' 'is' 'found']
one crate,['saw' 'was']
one degrees,['turn']
one doorway,['see' 'saw']
a one eighty,['do']
one eighty,['turn']
one eighty degrees,['turn']
a one eighty turn around,['do']
one external,['were']
one feet,['move' 'back up' 'go']
one fifty degrees,['to be']
one foot,"['back up' 'turn' 'go' 'move' 'take' 'stop' 'back' 'proceed' 'shift'
 'forward' 'about']"
one half,['meter']
one half meter,['move']
one hu,['turn']
one hundred,['pivot']
one hundred and eighty degrees,['turn' 'face' 'pivot' 'around' 'correction' 'rotate' 'go']
one hundred and eighty five degrees,['turn']
one hundred and fifty degrees,['turn' 'pivot']
one hundred and forty degrees,['turn']
one hundred and seventy five degrees,['turn']
one hundred and sixty degrees,['oops' 'turn' 'pivot']
one hundred and thirty five degrees,['left' 'turn']
one hundred and twenty degrees,['turn']
one hundred and uh thirty five degrees,['turn']
one hundred degrees,['turn' 'measure']
one hundred eight eighty degrees,['turn']
one hundred eighty,['turn']
one hundred eighty degrees,['turn' 'rotate' 'take' 'go']
one hundred forty five degrees,['turn']
one hundred sixty degrees,['turn']
one hundred thirty five degrees,['turn']
one meter,['go' 'move' 'proceed' 'backup' 'back up']
one minute,['um']
one more feet,['go' 'move']
one more foot,['move' 'go' 'turn']
one of the rooms,"[""couldn't tell"" 'did have' 'was' 'looked like' 'was able to observe']"
one of those shoes,['saw' 'hiding']
the one on the left,[nan]
one or two feet,['move']
one pair,['right' 'be' 'counted']
one pair of shoes,['found']
one point five meters,['move']
one shoe,['saw' 'tell' 'assuming']
one shovel,['was' 'found' 'saw']
one step,['move']
the one that's on your right,['go']
one thing,['identify']
one tree,['was']
one wall,['explored' 'found']
open door,['move' 'go']
the open door,['move' 'go']
the open door doorway,['move']
the open doorway,['move' 'open' 'interested' nan]
open doorways,['look']
open laptop,['was' 'were' 'seemed']
an open laptop computer,['looked' 'were']
an open new newspaper,['found' 'were']
open space,['counted' 'thought']
opening,['continue' 'move' 'er' 'see' 'go' 'proceed' 'is' 'go through']
an opening,['see']
the opening,['proceed' 'move' 'go' 'see' 'take']
the opening in the east,['go']
openings,['count']
operations,"['saw' 'coordinate' 'use' 'mounted' 'do' 'think' 'be' 'conduct' 'feel'
 'set' 'was' 'could' 'indicate' 'there were']"
operations or activities,"['do' ""there's"" 'could' 'coordinate']"
the opposite corner,['face']
the opposite direction,['face' 'go']
opposite way,['move']
the opposite way,['come' 'go']
orange,['move' 'forward' 'see' 'is' 'go' 'do' 'found']
the orange bucket,['go']
the orange cone,['move']
orange cone,['move' 'face' 'proceed']
orange cones,['were']
the orange object,['move']
orange object,['turn right' 'see' 'move' 'stop']
order,['belay']
original position,['return']
original room,['return']
other,['left' 'go' 'move']
the other,['meant']
the other cone,['travel' 'get' 'go']
the other door,['go']
other door,['move']
the other doorway,['go' 'proceed']
other doorway,['go' 'turn' 'can']
the other end of the alley,['face' 'to go' 'go']
the other end of the hallway,['head']
the other entryway,['go into']
the other one,['was']
other parts of the room,['find']
the other poster,['take']
the other room,['go']
other room,['move']
the other shoe,['be']
the other side,['stop']
the other side of the room,['travel' 'to be']
the other wall,['facing']
the other way,['come' 'go']
others,['see' 'have' 'consider' 'are' 'seemed' 'could' 'use' 'was']
out,['zoom']
out of the room,['move']
over there,['go']
paces,[nan]
paint bucket,['was']
pair,['tell' 'assuming' 'saw']
a pair of shoes,['did not' 'see']
a pallet,['were' 'looked']
a palm tree,['was']
palm tree,['move']
the palm tree,['take' 'use']
the pan,['move']
paper,['is']
papers,['were' 'is' 'was' 'hanging up']
the parent uh tomato,['say' 'running']
partitions,['go' 'cut' 'counted']
the passageway,['go']
people,['want' 'hanging' 'been' 'watered']
perfect,['is']
the perimeter,['explored' 'find']
personal belongings,['saw' 'had']
phone,"[nan 'has been living' 'found' 'was' ""didn't"" 'look']"
a phone,['found']
a phot,['send']
photo,"['take' 'send' 'look' 'show' 'see' 'move' 'took' 'go' 'give' 'need'
 'please' 'sent' 'have']"
a photo,"['take' 'send' 'stop' 'turn' 'okay' 'complete' 'give' 'took' 'taking'
 'grab']"
a photo shot,['take']
photos,['take' 'taking' 'had' 'send' 'scan' 'took' 'need']
a pic,['take' 'send']
pic,['took' 'take' 'send']
pict,['take']
pictu,['take']
the picture,['walk' 'see' 'was']
a picture,"['take' 'pivot' 'go' 'send' 'face' 'move' 'get' 'turn' 'taking' 'see'
 'keep' 'can' 'looking' 'help' 'took' 'do' 'stop' 'could' 'back up' 'show']"
picture,"['take' 'send' 'facing' 'took' 'zoom in' 'please' 'see' 'go ahead' nan
 'turn' 'taken' 'get' 'saw' 'think' 'was' 'lying' 'move' 'have' 'sent'
 'rotate' 'rotating' 'stop']"
a picture of it,['could' 'was' 'is']
pictures,['taking' 'take' 'do' 'were' 'send' 'keep' 'need' 'see' 'go' 'get']
picure,['send']
pivot,['rotate']
a planning room,['was']
the plant,['move' 'go' 'were' 'was' 'dumped' 'used' 'remember']
a plant,['see' 'mean' 'looks']
plant,['go' 'move' 'is' 'was' 'stop' nan]
plants,['want' 'hanging' 'been' 'watered']
plate,['was']
plenty of chairs and tables,['noticed' 'were']
position,['reverse' 'go' 'take']
positions,['take']
the poster,['look' 'turn' 'take']
a poster,['see']
poster,['go' 'was' 'like' 'is']
a poster of iron man in arabic,['saw' 'thought']
the pot,['move']
potted plant,['move' 'saw']
a potted plant,['were' 'was' 'dumped' 'used']
previous location,['return']
previous stopped position,['go']
prior point,['go']
probably,['is']
a question mark,[nan]
a quick,['left']
r,['turn' 'rotate']
rakes,['there was' 'there were']
rather ambiguous,['was']
ready,['am' 'are' 'be' 'go' 'get' 'say']
reclining chair,['was' 'like']
recording,['is']
rectangular entryways,['see']
the red bucket,['move' 'continue' 'moving']
the red circle,['move']
the red cone,['move']
red cone,['move']
a red end on it,['looks' 'has']
red object,['move']
red pail,['move forward']
red sign,['is']
regular furniture,['saw']
a response,['say' 'wait' 'starting']
the rest of the room,['take' 'keep' 'turn' 'face']
the review,['is']
rice cooker,['was' 'looks']
a rice cooker,['was' 'looks']
the right,"['turn' 'move' 'enter' nan 'go' 'be' 'to' 'to be' 'said' 'moved' 'rotate'
 'navigate']"
right,"['turn' 'proceed' 'make' 'see' 'move' 'veer' 'rotate' 'go' 'stop' ""you're""
 'enter' 'face' 'are' 'pivot' 'pull' 'turning' 'find' 'look' 'turned'
 'navigate' 'turn right' 'get to' ""that's"" 'slight' 'tell' 'walk']"
a right,['make' 'take']
right 180 degrees,['turn']
the right barrel,['move']
right door,['move']
the right door,['go']
the right forty five degrees,['turn']
right forty five degrees,['turn']
the right forward,['go']
right ninety degrees,['tell' 'turn']
right now,['thank' 'not']
the right room,['go']
the right seventy five degrees,['turn']
right ten degrees,['turn']
right there,['stop']
a right turn,['make']
right turn,['make']
the right twelve degrees,['turn']
the right wall,['move']
robot,"['turn' 'sorry' 'move' 'do' 'have' 'slow' 'go' 'continue' nan 'uh'
 'cancel' 'stop' 'thank' 'alright' 'apologized' 'meant' 'hi' 'are' 'doing'
 'take' 'okay' 'say' 'try' 'exploring']"
a room,['is' 'found' 'could be used']
the room,"['exit' 'go' 'move' 'leave' 'get' 'scan' 'drive' 'turn' 'enter' nan
 'get into' 'to be' 'proceed' 'found' 'find' 'take' 'navigate' 'continue'
 'return' 'saw' 'through']"
room,"['move' 'exit' nan 'move into' 'go' 'searching' 'leave' 'is' 'looks' 'be'
 'look' 'can' 'take' 'explore' 'navigate' 'scan' 'proceed' 'enter']"
the room on the right,['try' 'move']
the room surroundings,['take']
the room that you can see through your camera lens,['move forward']
rooms,['feel' 'set']
the rooms,['counted' 'went' 'passed']
round one eighty degrees,['turn']
the round red barrel,['move']
rubber,['like']
rude,['to be' 'go']
s,['continue' 'turn' 'go' 'move' 'stop']
the same,['do']
same building,['are']
the same one,[nan]
the same thing,['do']
sawhorse,['were' 'like' nan]
say,['counted' 'wanna' 'were']
scenario,['will' 'ends' 'end' 'completed']
the scenario,['completed']
screen,['um']
the screen,['walk' 'get' 'take']
second column,['move']
the second door,['can' 'stop']
second doorway,['go' 'forward' 'continue']
a second doorway,['see']
the second doorway,['move' 'continue' 'pull']
the second doorway on the left,['pull' 'forward']
the second object,['move']
the second orange cone,['move']
second traffic cone,['go']
see,['go' 'see' 'can']
self,['turn']
sensors,['have']
session,['end']
seven,['counting' 'um' 'had' nan 'head' 'uhh' 'calculated']
seven doorways,['saw']
seven feet,['move' 'go' 'proceed' 'say' nan]
seven feet east,['move']
seven or eight,['counted' 'did not get']
seven spaces,['move']
sevent,['turn']
seventy,[nan]
seventy degrees,['turn' 'move']
seventy five,['turn']
seventy five degrees,['turn']
seventy five degrees to the left,['turn']
several no smoking signs,['were']
several things,['was' 'use' 'make' 'come up with' 'help']
several yards,['move']
shape,['like']
a sharp left turn,['make']
a shelf,['see']
a shirt,['found']
the shirt,['move']
a shirt on a hanger,['looks']
shirts,['found' 'were']
shoe,['locate' 'find' 'move' 'see' 'go to']
a shoe,['is' 'looking' 'do' 'see' 'find' 'move']
the shoe,['do' 'see' 'go']
the shoes,['turn' 'go' 'take' 'guess']
shoes,"['were' 'indicate' 'see' nan 'be' 'are' 'find' 'calibrated' 'say' 'saw'
 'was' 'do' 'found' 'have' 'seen' 'count' 'did' 'counted' 'look' 'um'
 'seemed' 'move']"
a shopping bag,['have' 'include']
short orange thing,['see']
shovel,"['look' 'find' 'tell' 'say' 'found' 'was' 'is' 'are' 'see' 'saw' 'know'
 'go' 'shovel' 'be' 'move' nan 'take' 'turn']"
a shovel,"['see' 'found' 'do' 'wet' 'would be' 'there were' 'had' 'look' 'know'
 'umm' 'is']"
the shovel,"['go' 'stop' 'move' 'pass' 'travel' 'take' 'walk' 'locate' 'drive'
 'remember' 'saw' 'reach']"
shovels,"['do' 'see' 'did' 'find' 'counted' 'saw' 'were' 'seen' 'ask' 'found' 'be'
 'was' nan 'got']"
shoves,['saw']
shredded oats,['was' 'seemed']
a shredded wheat box,['was' 'looks']
si,['go']
side,['navigate']
the side your right side,['turn' 'is parallel']
sideways to your left just one foot,['move']
sign,['move' 'take' 'smoking' 'investigate']
the sign,['go' 'move']
signs,['were' 'cause' 'looks' 'was']
the silver object,['move' 'go']
silver square,['is']
the sink,['go']
six,['counting' 'counted' 'think' 'got' 'uhh']
six degrees,['go']
six degrees east,['move']
six doorways,['found' 'okay']
six feet,['back up' 'drive' 'go' 'move' 'proceed' 'head' 'keeping']
six feet west,['to be']
six inches,['move' 'back up']
six inches north,['go']
six meters,['go']
six paces,['move']
six steps,['move']
sixteen,['counted']
sixteen doorways,['identified']
sixty degrees,['turn' 'move' 'kay']
sixty degrees left,['move']
sixty degrees right,['move']
sixty five degrees,['move' 'turn']
slight,['turn']
a slight right,['make']
a slight turn,['make' 'turn']
slightly right,['turn']
slightly to the right,['to go']
slippery,['wet' 'would be' 'there were' 'had']
a small,['is']
a small object,['go to']
a small square object,['find']
a snapshot,['take']
snapshot,['give']
so,"['think' 'see' 'found' 'review' 'were' 'um' 'thank' ""don't""]"
so that,['back up']
soda,['open' 'was']
soldier,['think' 'be able to' 'do' 'be' 'move']
some,"['turn' nan ""there's""]"
some barrels,['like']
some cereal,['saw' 'like' 'think']
some chairs,['found']
some clothes,"[""there's""]"
some cones,['see' 'help' 'find' 'are']
some english writing,['saw' 'say']
some helmets,['was' 'build']
some kind of container,"['is' 'do' ""there's""]"
some kind of plug,['looks']
some maps and calendars,['noticed' 'were']
some of pots and pans,['saw' 'like' 'think']
some other stuff,['was']
some type of a chalk board,['looked']
some type of handiwork,['see' 'do' 'explain']
some type of technical maneuver,['was' 'use' 'make' 'come up with' 'help']
some water bottles,"[""there's""]"
somebody,['was' 'occupied']
something,"['find' 'put' 'see' 'do' 'hit' 'tell' 'move' 'look' 'be moved' 'be used'
 'keep' 'run' 'investigating' 'calibrated' 'was' 'need' 'gathering'
 'think' 'can' 'make sure' 'start' 'make' 'indicates' 'looks' 'pass']"
something current,['wet' 'would be' 'there were' 'had']
something else,['was' 'use' 'make' 'come up with' 'help']
something helpful,['saw' 'have']
something that was either a crate or a pallet,['saw' 'was']
somewhere cool,['go']
the son tomato,['say' 'running']
sorry,['am' 'um' 'go' 'nevermind' 'be' 'was']
south,"['turn' 'go' 'can' 'face' 'take' 'look' 'move' 'head' 'travel' 'pivot'
 'into' 'do' 'continue' 'moving' nan 'point' 'drive' 'going']"
the south,['turn' 'move' 'facing' 'go']
south doorway,['go']
south east,['go']
the south entrance,['go']
south entrance,['go']
south ninety five degrees,['turn']
south one foot,['move']
the south opening,['walk']
a south photo,['take']
south two feet,['go']
south west,['facing' 'take' 'turn']
southbound,['go']
the southeast,['face']
southeast,['pivot' 'go' 'face' 'turn' 'move' 'travel' 'get' 'drive']
the southeast entrance,['go']
the southeast opening,['go']
southeastern,['er']
the southeastern opening,['move']
the southern wall,['move']
southwest,"['turn' nan 'face' 'take' 'pivot' 'head' 'go' 'can' 'move' 'excuse'
 'meant']"
southwest five feet,['go']
southwest forty five degrees,['turn']
speakers,['think' 'were' 'was' 'know' 'do']
speakers of a foreign language,['saw' 'say']
speakers of english,['were' 'do' 'think']
speakers of english or a foreign language,['were' 'do' 'think']
sports equipment,['saw']
square brown in color,['is']
sss,['stop' 'moving' 'west']
stairs,['move']
the stairs,['go']
stand,['was' 'looked' 'could' 'had']
the start,['go']
the start of a corridor a doorway,['is']
start point,['go' 'return']
started,['go' 'get']
starting location,['return']
the starting point,['go' 'turn' 'face']
starting point,['move' 'turn' 'return']
starting position,['face' 'go']
statue,['looks' 'be']
stayed,['was' 'looked' 'could' 'had']
a step,['take']
a stepladder kinda thing,['looked']
steps,['move' 'go' 'take' 'up' 'away' 'to move' 'like' nan 'to take']
stools,['uh']
stop,['do' 'hit' 'tell' 'say' 'move' 'go' 'stop' 'k' 'turn' 'okay']
a stop sign,['were' 'was' 'believe' 'saw' 'had' 'to place' 'to have']
the storeways or nine doorways total,['were' 'would be']
straight,"['keep' 'go' 'continue' 'going' 'move' 'hit' 'walk' 'travel' 'see' 'leave'
 'okay' 'through' 'say' 'reach']"
straight ahead,['go' 'move' 'reach']
straight for one meter,['go']
straight ten feet,['go']
straight three feet,['walk' 'move']
straight through the doorway,['go']
straight through the doorway on the right,['continue']
stuff,"['move' 'is' 'are' nan 'seemed' 'could' 'use' 'was' 'tell' 'were'
 'hanging up' 'guessing' 'had' 'build' 'scattered']"
suitcase,"['to have' 'think' 'move' 'go' 'have' 'include' 'do' 'saw' 'had' 'found'
 'like']"
the suitcase,['move']
suitcases,['found' 'were' 'say' 'saw' 'was']
supplies,['coordinate' 'use' 'mounted' 'saw']
sure,['count' 'are']
surface,['be used']
surrounding area,['go' 'check']
the surrounding area,['take']
symbols,['recognized' 'were']
t,['turn' 'can' 'go' 'move' 'met']
a table,"['had' 'was' 'looks' 'have' 'include' 'looks like' 'could be' 'had to'
 'stop' 'looked' 'could' 'is']"
the table,"['move' 'walk' 'get' 'head' 'was' 'looked' 'go' 'hit' 'see' 'hanging'
 'stop']"
table,"['go' 'was' 'looks' 'move' 'were' 'like' 'find' nan ""couldn't tell""
 'did have' 'looked like' 'was able to observe' 'walk' 'get' 'indicate'
 'stop' 'seemed' 'had']"
tables,['move' 'go' 'saw' 'looked_like' 'noticed' 'was' nan 'like' 'think' 'uh']
talk,['hold']
the talk button,['hold']
task,['complete']
teammate,['thank']
technology,['want' 'hanging' 'been' 'watered']
telephone,['was']
a telephone table,['was']
telephones,"[""there's""]"
television,[nan 'is' 'was' 'looked' 'were' 'hanging up']
temperature,['is' 'are']
ten,['think' 'be' 'go' 'counted']
a ten degree angle,['do' 'turn']
ten degrees,['turn' nan 'move' 'rotate' 'left' 'to be']
ten degrees left,['move']
ten degrees right,['turn']
ten degrees south,['turn']
ten doorways,['were' 'found' 'saw']
ten feet,"['move' 'go' 'continue' 'drive' 'be' 'walk' 'start' 'moving' 'proceed'
 'head' 'south' 'west' 'backup' nan 'back up' 'uhh']"
ten feet ahead,['drive']
ten feet five feet,['uh']
ten feet forward,['move' 'proceed']
ten feet north,['go']
ten feet northeast,['move']
ten feet south,['move']
ten feet west,['walk']
ten inches,['go' 'move' 'turn' 'was']
ten meters,['proceed' 'move' 'go']
ten more degrees,['keep' 'going' 'turn']
ten more degrees south,['turn']
ten more feet,['continue']
ten spaces,['move']
ten steps,['move']
territory,['tell' 'are']
text,['recognized' 'were']
thanks,[nan 'mmhmm']
that,"['could' 'be' 'cancel' 'go' 'counts' 'say' 'is' 'move' 'do' 'looking'
 'were' 'assume' 'means' 'see' 'was' 'will' 'ends' 'indicates' 'let'
 'okay' 'looking at' 'belay' 'led' 'believe' 'think' 'went' 'keep'
 'repeat' ""there's"" 'add' 'tally' 'count' 'can' 'confirm' 'dumped' 'used'
 ""couldn't tell"" 'did have' 'looked like' 'was able to observe' 'press'
 'hold' 'did' 'know' 'works' 'forget' 'has been occupied' 'speak'
 'would speak' 'mean' 'looks' 'strike' 'saw' 'wet' 'would be' 'there were'
 'had' 'are' 'send' 'take' 'use' 'came' 'rephrase' 'forgot' 'has been'
 'gives' 'makes' 'make' 'figure out' 'search' 'appreciate' 'facing' 'like'
 'face']"
that Arabic newspaper,['guess' 'means']
that I went,['counted' 'went' 'passed']
that a doorway to your left,['is']
that black ball,['is']
that blue sign,['take' 'go' 'back up']
that box,['move']
that computer,['say' 'was']
that corner,['look']
that corridor,['go through' 'can']
that corridor door,['go']
that desk,['move' 'hit']
that door,['go']
that doorway,"['go' 'can' 'stop' 'walk' 'see' 'get' 'move' 'to go' 'take' 'head'
 'proceed']"
that doorway on the right,['drive']
that doorway there,['move']
that entrance,['move']
that hallway doorway,['go']
that hallway slash room,['go']
that next opening in the wall,['move']
that object,"['move' 'knock over' 'tip over' 'get' 'look' 'pointing' 'let' 'know' 'is'
 'was' 'blocked']"
that obstruction,['move' 'able to move']
that one,['forgot']
that open doorway,['go through' 'go']
that open space,['go']
that opening,['go through']
that orange cone,['move']
that poster,['go' 'take']
that room,['go' 'know' 'be' 'move' 'to go' 'have' 'been']
that scenario,"[""that's"" 'end']"
that second doorway,['pass']
that shovel,['take']
that sign,['move']
that space,['move']
that table,['move']
that the environment,['make' 'indicates']
that the environment has been recently occupied,['think' 'indicates']
that the last occupants were speakers of english or a foreign language,['think' 'speakers']
that the previous residents were Arabic,['guess' 'means']
that thing,['is']
that traffic cone,['go' 'to']
that wall,['stay' 'go' 'hit']
that way,['go']
that white sign,['is' 'go']
