direct_object,unique_verbs
the front right corner,['Place']
front right corner of the table,['Place']
the front right corner of the table,['Move']
the front right edge,['Place']
front right side of stove top,['Move']
the front right table corner,['put' 'move']
the fruit,['Move' 'pick up' 'put on' 'Picking' 'dropping' 'place']
fruit,['Move' 'pick' 'put' 'Pick' 'place' 'remove' 'is left']
fry,['put']
the fry,['Move' 'forms' 'lies']
frying pan,['Move' 'Place']
the frying pan,['Move']
garlic,['Place']
geren item,['Pick up' 'put']
glass cup,['pick up']
glass object,['Move']
glue,['pick up' 'put']
the gold fish,['Move']
the grape,['remove' 'place']
grape,['Move']
the grapes,['put' 'Place' 'Take' 'place' 'Move' 'Put']
grapes,['Place' 'move' 'Move' 'replace' 'remove' 'place' 'Set' 'Take' 'put' 'Put']
the grater,['Move' 'place' 'Place']
grater,['Place' 'Move' 'Pick up' 'place']
gray,['Move']
the gray ball,['picking up' 'moving']
gray cube,['Place']
the gray item,['Move']
gray object,['Place' 'Move']
green,['move']
green and gray spatula,['Pick up' 'move']
the green and yellow bottle,['Put']
the green and yellow food item,['Put']
the green and yellow item,['Move']
green and yellow object,['Place']
the green and yellow object,['move']
green and yellow vegetable,['Place']
the green and yellow vegetable,['Place']
green ball,['put' 'Move' 'Place' 'pick']
the green ball,['Put' 'move' 'place']
green banana,['move']
green bear,['move']
green bell pepper,['Move' 'put']
the green bell pepper,['Pick up' 'place' 'Put' 'put' 'Move' 'Place']
the green board,['move']
green broccoli,['Move']
the green broccoli,['Place' 'Move']
green cap,['Move']
the green capsicum,['Move']
the green cauliflower,['Move']
the green cheese grinder,['Pickup' 'place']
the green chilly,['place']
green cloth,"['move' 'Move' 'slide' 'Place' 'Take' 'place' 'hold' 'keep' 'Put'
 'hanging' 'touching' 'Pick up' 'Pickup' 'fits' 'Remove' 'put']"
the green cloth,"['Move' 'place' 'Put' 'slide' 'Place' 'Moves' 'move' 'Pick' 'put' 'Take'
 'Pickup' 'be' 'bring' 'facing' 'Pick up' 'hold' 'Slide' 'make']"
the green club,['scoot']
the green color vegetable,['Take' 'place']
the green colour cap,['Moving']
green corn,['Pick up' 'move']
the green cutting board,['Move']
the green dish cloth,['Put']
green doll,['pick' 'place']
the green egg,['hold' 'place']
green egg,['Place']
the green egg shape,['Put']
green foam,['place' 'placed']
green food,['Put']
the green fork,['Put']
green fork,['move']
the green fruit,['Move' 'facing']
the green grapes,['slide']
the green gratter,['move']
the green handled knife,['Put']
green handled spatula,['slide' 'touch' 'touching']
the green handled spatula,['Move' 'Place' 'Put']
the green handled utensil,['Put']
green item,['Move']
the green item,['Put' 'Remove' 'put']
the green knife,['Pick up' 'placed' 'Put' 'Move']
green lime,['Place']
the green lime,['Place']
green mango,['hold' 'place']
green mug,['pick up']
green napkin,['Place' 'Remove' 'place']
the green napkin,['Move' 'Remove' 'place' 'Place' 'puts']
green object,['Move' 'Place' 'Put']
the green object,"['Take' 'move' 'Put' 'Move' 'place' 'put' 'Place' 'Moving' 'picking up'
 'moving' 'Pick up' 'placed']"
the green pad,['Move']
green pear,['place' 'Move']
the green pear,['Place' 'Put' 'put' 'Move']
the green peeler,['Move' 'Place']
green peeler,['Place']
green peper,['move']
the green pepper,['Put' 'Move' 'Pick up' 'place' 'Place' 'Moving']
green pepper,['move' 'Place' 'Put' 'Move' 'put']
the green peppers,['Pick up' 'move']
green pickle,['Place']
the green pickle,['Place']
the green piece of cloth,['Move']
green piece of cloth,['Place']
the green plastic item,['Place']
the green rag,['Move' 'Put' 'slide' 'Slide' 'touches' 'put']
green rag,['Move' 'Place' 'slide' 'Put']
green rectangle,['Move']
the green rectangle,['Bring' 'Put' 'Push' 'moving']
a green round object,['grabbed' 'moved']
the green sausage,['Put' 'Move' 'Pick up' 'put']
green sausage,['Pick up' 'placed']
the green scoop,['Move' 'Relocate']
green spatula,['Place' 'move' 'Pick up' 'place' 'Move' 'pick up' 'Put' 'hold' 'above']
the green spatula,"['Move' 'Hold' 'place' 'Pick up' 'Take' 'put' 'Place' 'Put' 'move' 'hold'
 'remove' 'slide']"
the green spoon,['Put' 'Place' 'Move']
green spoon,['put' 'pick' 'drop' 'move' 'place']
green square,['Put']
green squash,['put']
the green squash,['Place']
green table cloth,['Move']
the green tomato,['Move' 'put']
the green tool,['Move' 'Moves']
green towel,['Move' 'place' 'Put' 'move' 'Pick up' 'Place' 'Putting']
the green towel,['Move' 'pick' 'put' 'Push' 'Place' 'pick up' 'put on' 'Pick up' 'slide']
green toy,['move' 'keep' 'pick' 'place' 'put']
the green utensil,['Move' 'Place' 'place' 'Pick up' 'Put']
the green vegetable,['Move' 'Place' 'Take' 'put' 'move' 'take' 'Pick up' 'place' 'Put']
green vegetable,['Place' 'pick' 'place' 'put' 'move']
the green washcloth,['Move' 'placing']
green zucchini,['Put']
the green-and-yellow item,['Place']
the green-handled spatula,['Pick up' 'place']
green/orange object,['remove' 'placed']
greencloth,['Move']
grey block,['Put' 'Moves']
the grey cube,['Put']
grey cube,['Move' 'Put']
the gripper,['Move']
the guava,['Pick' 'put']
h1orizontally,['Put']
the hairbrush,['pick up']
the half bun,['Put']
half of it,['Move' 'place']
the half pumpkin,['put']
the handle,['Place' 'laying' 'Move' 'is sitting' 'is facing' 'Put' 'rotate' 'faces']
handle,"['Place' 'handle' 'Put' 'hanging' 'Move' 'points' 'sits' 'point' 'move'
 'turn']"
the handle of the knife,['Place']
handled bowl,['Place']
the handled bowl,['Put']
head,['Place' 'touching']
the head of the mushroom,['Move' 'pointing']
hit,['is' 'loaded']
hot dog,['Put' 'pick' 'place' 'Pick' 'put']
the hot dog,['Place' 'Move' 'Put']
the hot dog bun,['Move' 'place']
hot dog bun,['Move' 'place']
hot sauce,['Place']
hot sauce bottle,['topple' 'upright']
the hotdog,['Put']
hotdog,['Put' 'pick' 'put' 'hold' 'place' 'Place']
the hotdog bun,['Move' 'place']
hunk of cheese,['Move']
the ice cream scoop,['put' 'Moving' 'Move' 'Place' 'Put' 'Pick up' 'place']
ice cream scooper,['Move' 'picked up' 'moved']
image,['is' 'loaded']
images,['loaded' 'appear' 'did not load']
in,['remove' 'keep' 'pick' 'place']
in between red and blue utensils,['Move' 'place']
in between the spoon and the sushi,['Place']
in front of the microwave,['Move' 'sits']
"in front of the silver pan, near the edge of the table",['Move' 'be']
in the corner,['Pick' 'put']
in the front edge,['Move' 'place']
in the middle of the counter between the bowl and red object,['Move' 'place']
in the middle of the right side of the counter,['Move' 'place']
inner edge,['Place']
inside of pot,['move']
into the pot,['Move']
it,"['Pick up' 'move' 'Pick' 'place' 'put' 'Move' 'pick up' 'sits' 'Take'
 'Grab' 'pick' 'rest' 'Hold' 'hold' 'Remove' 'Turn' 'keep' 'slide'
 'pull out' 'picking up' 'moving' 'set' 'take' 'Pickup' 'lay' 'drop'
 'placing' 'placed' 'replace' 'remove' 'pickup' 'Place' 'Check' 'select'
 'push' 'rotate' 'Take out' 'grabbed' 'moved' 'picked up' 'pace'
 'put it down' 'hang' 'be' 'turn' 'Picked up' 'grab' 'bring' 'touches'
 'put down' 'mix' 'grabbing' 'putting' 'is' 'make' 'Relocate' 'Bring'
 'Pull' 'touching' 'Picking' 'dropping' 'drag' 'pull']"
item,['Move' 'Place' 'Take' 'move' 'place' 'Moving' 'putting']
the item,['Put' 'Pick up' 'move']
its,['Place' 'standing']
its hand,['opening' 'closing' 'moving']
jalapeno,['Place']
the jar,['move']
jelly,['Move' 'put']
kadai,['Move' 'place' 'keep']
the kazoo,['Put']
the ketchup bottle,['Move']
ketchupbottle,['put']
key,['pick up']
the knfie,['Put']
knief,['move']
the knief,['move']
knife,"['put' 'move' 'Move' 'place' 'Pick' 'Place' 'pick' 'Put' 'Take'
 'microwave' 'Pick up' 'slide']"
the knife,"['Place' 'Put' 'place' 'Pick up' 'Move' 'move' 'placed' 'put' 'pick up'
 'pick' 'pace' 'take' 'fix' 'bring' 'rotate' 'Bring' 'touches' 'Pick'
 'Moves' 'drop' 'stop']"
the knife's blade,['rest']
knob,['twist' 'start']
the laddle,['Place']
ladle,['Move']
the ladle,['Move' 'Put' 'move' 'Place' 'Grab']
the ladle spoon,['Move']
large4fbox,['open' 'close']
the left,['Move']
left,['Pick up' 'move' 'place' 'Move' 'Place' 'remove' 'pick up']
the left bottom corner,['Move']
the left burner,['Move']
left center of counter,['Move']
the left center of the table,['slide']
left corner,['Pick' 'place']
the left corner,['Place']
the left corner of the table,['Take' 'place']
the left edge,['Move' 'Place']
the left edge of counter,['Move']
left edge of the table,['Move']
the left front corner of the table,['Place']
left of pot,['Move']
the left of the green vegetable,['Move']
the left orange vessel,['pick' 'put']
the left side,['Put']
left side,['move' 'Move']
left side of blue cloth,['Place']
left side of bowl,['pick up' 'place']
left side of counter,['Move']
the left side of mushroom,['hold' 'put']
left side of table,['Pick up' 'placed']
the left side of table,['pick up' 'put on']
the left side of the cloth,['Place']
the left side of the silver vessel,['Move']
the left side of the spoon,['Move']
left side of yellow cloth,['Move']
the left stove burner,['Move']
left upper corner,['move']
the leftcorner,['Mpve']
the leftmost corner,['Place']
leg piece,['Move' 'Put']
the leg piece,['Place' 'Move' 'place' 'remove']
lemon,['Put' 'put' 'Move']
the lemon,['Pick' 'put' 'Place' 'Put' 'Move']
lever,['to front' 'turn']
lid,['take' 'put']
a lie,['Move' 'forms' 'lies']
light blue cube,['Pick' 'move']
the light blue item,['Put']
light blue towel,['Move']
the light blue towel,['Move']
light green cloth,['Place']
light orange object,['Place']
light switch,['move']
the lime,['Move' 'put' 'Place' 'Put']
lime,['move' 'Place']
little,['move']
little bit,['move']
the loaf,['Move']
loaf,['Place']
the lobster,['Place']
the lobster tail,['Move']
lobster tail,['Place']
the long red item,['Put']
lower left corner,['put' 'move']
the lower left corner,['Put' 'Move']
lower left corner of table,['Move']
lower left corner of the table,['Move']
the lower middle of the table,['Move']
the lower middle of the yellow cloth,['Put']
the lower part of table,['Move']
lower part of table,['move']
the lower right corner,['Move' 'Put']
lower right corner,['move']
lower right corner handle,['Move']
lower right corner of the table,['Move']
mango,['pick' 'put' 'Pick' 'place']
mangoes,['Put']
the masher,['Move' 'Pick up' 'put']
meant,['Move']
the measuring cup,['Place' 'Move']
measuring cup,['Place']
the measuring spoon,['Move' 'Pick up' 'place']
meat,['move' 'Place' 'pick up' 'place' 'Move']
the meat,['Put' 'Place' 'Pick up' 'put' 'pick up' 'place']
metal,['topple']
metal bowl,['move' 'Place' 'Move' 'Pick up']
the metal bowl,['Pick up' 'place' 'Place' 'move' 'Put' 'Move' 'put']
metal cans,['Move']
the metal cup,['Move' 'place']
the metal pan,['pick' 'place' 'Place' 'Move' 'Put']
metal part,['Put']
the metal part of the fork,['Place']
the metal part of the ice cream scoop,['Place']
metal portion,['Place' 'sits']
the metal pot,['Place' 'Move' 'Put' 'place' 'move' 'pick up' 'Pick up']
metal pot,['Put' 'move' 'Move' 'Place']
the metal strainer,['Pick up' 'place']
the microwave,['Move' 'Place' 'put' 'pick up' 'move' 'place' 'Take']
microwave,"['Move' 'touch' 'Place' 'slide' 'place' 'open' 'drop' 'Put' 'Pick up'
 'pointed' 'move' 'close']"
microwave door,['Move' 'Place' 'pointed']
middle,['Move' 'move' 'keep']
middle edge of the table,['Put']
the middle front of the table,['Move']
middle of,['Move']
middle of blue cloth,['Move']
the mixing bowl,['Move']
the mixture,['Spoon' 'smooth']
mouse,['move' 'Place']
mushroom,"['Move' 'touch' 'place' 'Put' 'Pick up' 'move' 'pick up' 'hold' 'Take'
 'put' 'pointed' 'Place' 'point' 'pointing' 'pickup' 'Remove' 'drop'
 'stem' 'Pick' 'laying' 'slide' 'remove' 'is' 'stand up' 'lean left']"
the mushroom,"['Move' 'place' 'Pick up' 'put' 'Place' 'Put' 'Remove' 'pick up' 'drop'
 'move' 'remove' 'Pick' 'slide' 'Grab' 'hold']"
mushroom shape,['Put' 'Move']
the mushroom shape,['Place' 'Put']
the mushroom stem,['Move']
the mushrooms,['Pick up' 'Move']
na dpot,['Place']
the napkin,"['Place' 'Put' 'Pick up' 'put' 'Move' 'slide' 'move' 'place' 'Bring'
 'Push' 'push']"
napkin,"['Place' 'slide' 'Move' 'Put' 'Mpve' 'Pick up' 'place' 'is' 'move'
 'pick up']"
napkins,['move']
the near corner,['Put']
the near edge,['Bring']
the nife,['move']
nigiri,['Put']
the nigiri sushi,['Place']
object,"['Pick up' 'drop' 'move' 'Put' 'end' 'transition' 'place' 'placed'
 'remove' 'Moves' 'Move' 'put' 'Place' 'Play']"
the object,['Place' 'Pick up' 'put' 'place' 'Move' 'Check' 'move']
object in front of the yellow cloth,['Pick up' 'place']
the onion,['place' 'put' 'Place' 'Move']
onion,['Put' 'place']
the opposite corner,['Put']
opposite corner of the table,['slide']
the orange,"['Put' 'Take' 'put' 'Place' 'pick' 'Mpve' 'Pick up' 'place' 'move' 'Move'
 'bring']"
orange,"['Place' 'Move' 'put' 'placed' 'move' 'Put' 'place' 'pick' 'keep'
 'Pick up' 'slide' 'pick up']"
orange animal,['Pick up' 'place']
orange ball,['pick' 'keep']
the orange block,['Place']
the orange bottle,['Place' 'Pick up' 'place' 'Move' 'Take' 'move' 'Put']
orange bottle,['Place' 'move' 'Move']
the orange bowl,['Move' 'Place']
orange bowl,['move']
the orange brush,['Place']
orange brush,['Place' 'place' 'Move']
orange carrot,['Place' 'Put' 'Take' 'put']
the orange carrot,['Place' 'Move' 'Pick up' 'place']
orange cloth,"['Place' 'Move' 'move' 'slide' 'place' 'can' 'directly above' 'Put'
 'to be' 'hold' 'Pick' 'moved' 'positioned' 'Set' 'put' 'Push' 'remove'
 'stand' 'pointed' 'pick up' 'set']"
the orange cloth,['Move' 'move' 'Put' 'place' 'Place' 'put']
orange clothe,['drop' 'pick']
orange color,['place']
the orange color cloth,['Move']
orange colour fruit cutting board,['Put']
the orange coloured cloth,['Place']
orange container,['Place']
the orange container,['Put']
the orange cube,['Place']
the orange cup,['Place']
orange doll,['pick' 'place']
orange fabric,['Move']
the orange fish,['Put' 'Move']
orange fish,['Move']
orange fruit,['place' 'placed']
orange handled knife,['Place']
the orange hot dog,['pick' 'put']
orange item,['Move' 'Put']
the orange item,['Pick up' 'place' 'Put']
the orange jelly,['Move' 'place']
orange jelly,['Move']
the orange leg piece,['Move']
the orange measuring cup,['Move']
the orange meat,['Relocate' 'put']
the orange napkin,['Place' 'Move']
orange napkin,['Move']
orange object,['Place' 'Move' 'place' 'Put' 'Touch' 'placed']
the orange object,['Pick up' 'put' 'Put' 'place' 'Move']
the orange pan,['slide' 'Put' 'Move']
the orange pepper,['Place' 'Put']
orange pepper,['pick up' 'put']
the orange piece,['Take' 'place']
orange piece,['move' 'Place']
the orange plastic fish,['Pick up' 'place']
orange pot,['move' 'Place' 'flip' 'Move' 'slide']
the orange pot,['Place' 'Move' 'Set']
the orange rag,['Put' 'slide' 'Move' 'touch']
orange rag,['slide' 'Put' 'Place']
orange rectangle,['Put']
the orange rectangle,['Bring']
orange roll shape,['Put']
the orange rub,['Put']
the orange slice,['hold' 'place']
orange slice,['Place']
the orange spoon,['Move']
orange square,['Move']
orange table cloth,['Move']
the orange thing,['Move']
the orange tool,['Moves']
the orange towel,['Move' 'Place' 'Take' 'put' 'Pick up' 'move' 'drop']
orange towel,['Move' 'place' 'Place' 'drop' 'put' 'Pick up' 'slide']
the orange tower,['Move']
orange towl,['Move' 'place']
orange toy,['pick' 'place']
the orange tray,['Place']
orange vegetable,['Place']
the orange vegetable,['Place']
the orange wedge shape,['put']
the orange wing,['Place' 'place']
orange/green shaker,['Move']
ornage glass,['pick' 'place']
ot,['Remove' 'place']
the other side of the silver pan,['Put']
outer front edge of the table,['Place']
outer table edge,['Pick up' 'place']
the oval item,['Put']
oven,['close' 'open' 'place']
packed food can,['Move']
pad,['take' 'place']
pan,"['put' 'Placing' 'Move' 'move' 'Place' 'Put' 'place' 'reaching' 'take'
 'pick' 'fry' 'end' 'transition' 'remove' 'keep' 'in' 'or' 'carrying'
 'keeping' 'pick up' 'slide' 'hold' 'drop' 'Pick up' 'on']"
the pan,"['Move' 'Put' 'put' 'Place' 'push' 'move' 'place' 'scoot' 'Pick up' 'Set'
 'Take' 'slide' 'hold' 'Adjust' 'Moving' 'nearer' 'Bring']"
the pan handle,['Move']
paper,['cutting']
parallel,['move']
the pear,['Move' 'drop' 'Put' 'Place' 'move' 'pick' 'keep' 'place' 'put']
pear,"['put' 'slide' 'Move' 'Take' 'move' 'pick up' 'place' 'hold' 'Pick up'
 'on' 'in' 'Put']"
peeled potato,['put']
the peeler,['Move' 'place' 'put' 'move' 'keep']
peeler,['Move' 'Place']
peep,['Put']
pepper,"['Put' 'Take' 'set' 'place' 'is' 'put' 'lay' 'slide' 'Move' 'stop' 'drop'
 'move' 'Place']"
the pepper,['Put' 'Move' 'Take' 'move' 'Place' 'put' 'drop' 'centered']
the pepper jar,['Place']
the phallic looking item,['Move' 'Place']
photos,['load']
pickle,['move' 'Put' 'put' 'slide']
the pickle,['put' 'Move' 'Put' 'Place' 'move']
pictures,['working']
the piece,['place']
piece,['move']
piece of cake,['Pick up' 'put' 'Place']
the piece of cake,['Move']
the piece of cheese,['Put' 'Pick up' 'place']
the piece of cloth,['Move']
the piece of corn,['Place' 'play' 'Move']
the piece of sushi,['Move']
pineapple,['Pick' 'move' 'Place' 'Move' 'Put']
the pineapple,['Move' 'Place' 'Take' 'place']
the pink-handled spoon,['Place' 'Move']
the place,['Move']
place,['Move' 'place' 'pick up' 'stay']
the place of the capsicum,['Change']
the plastic bottle,['Take' 'place']
plastic green item,['Put']
plastic pot,['moved']
plastic tumbler,['Take' 'place']
the plastic vessel,['put' 'Place']
plate,['take' 'put' 'Move' 'pick up' 'wipe']
the plate,['Move']
plush animal,['Move']
the plush toy,['put']
the polymer cutter,['Move' 'place']
poor quality images,['are']
popcorn,['pick up' 'put' 'Move' 'Pick up' 'place']
pork,['Take' 'place']
the pot,"['Put' 'Move' 'move' 'Place' 'place' 'put' 'Pick' 'Pick up' 'Moves' 'Take'
 'keep' 'pick up' 'puts' 'Set' 'drop' 'Bring' 'touch' 'placed' 'slide'
 'Relocate' 'grabbed' 'moved' 'lift' 'Drag' 'Moved' 'stop' 'picking up'
 'placing' 'push' 'up' 'press' 'touching' 'be' 'rotate' 'faces' 'near']"
pot,"['move' 'take' 'put' 'Move' 'Put' 'Place' 'Take' 'place' 'Pick up' 'Pick'
 'moved' 'placed' 'pointing' 'slide' 'pick' 'pick up' 'reaching' 'pour'
 'fry' 'end' 'transition' 'touching' 'Remove' 'Lift' 'takes' 'drop' 'in'
 'or' 'wipe' 'hanging' 'topple' 'Slide' 'stop' 'pickup' 'flip' 'is' 'on'
 'touches' 'putting' 'remove' 'is left' 'move back' 'Moving' 'set'
 'standing']"
pot or pan,['put']
the pot with the bell pepper,['Move']
the pot with water,['Move']
the potato,"['Set' 'Take' 'put' 'pick up' 'place' 'Place' 'Pick up' 'Put' 'hold'
 'move' 'take' 'Move' 'Grab' 'pick']"
potato,"['put' 'Place' 'Put' 'Move' 'move' 'place' 'Grab' 'hold' 'pick up'
 'Remove' 'Pick up' 'stop']"
potato food,['moved']
the potato masher,['Pick up' 'put']
potatoe,['Place']
the potatoes,['Move']
pots,['Place']
poultry leg,['Pick up' 'place']
prawn,['Place' 'Put']
prongs,['Move' 'pointing']
prongs of fork,['put']
pumpkin,['Remove' 'place' 'move' 'put']
the puppy,['Put']
purple cloth,"['move' 'Move' 'Place' 'Put' 'select' 'push' 'place' 'slide' 'put' 'can'
 'laying' 'pick']"
the purple cloth,['Place' 'Take' 'place' 'Move' 'Put' 'Pickup' 'move' 'put' 'ove' 'pick up']
the purple colth,['move']
the purple dish cloth,['Put']
the purple eggplant,['Place' 'Move']
purple food,['Put']
purple grapes,['Move']
the purple grapes,['Put']
purple napkin,['Move']
the purple object,['Place' 'Move' 'Put']
the purple piece of cloth,['Move']
purple piece of cloth,['Place']
the purple rag,['slide' 'Move' 'Slide' 'Put' 'touches' 'handled' 'Place']
purple rag,['Put' 'Place' 'slide' 'Move' 'Pull' 'is' 'touch' 'touching']
the purple rectangle,['slide']
purple shape,['Place']
the purple shape,['Move']
the purple towel,['Move' 'Put' 'Place' 'Pick' 'off' 'Set' 'Pick up' 'place' 'slide']
purple towel,['Move' 'Place' 'place' 'Put' 'placed' 'Pick up' 'slide' 'move']
purple vegetable,['Place']
quince fruit,['hold' 'place']
the rabbit,['Put']
rag,['Put' 'Place' 'slide']
the rag,['slide' 'Move' 'Remove' 'place' 'Bring']
rainbow,['pick up']
rattle,['pick up' 'move' 'Move' 'Pick up']
rear center of the table,['Move']
the rear left corner of the counter,['Place']
the rear left of the table,['Move']
rectangle,['Push']
the rectangular orange cutting board,['Move']
red,['move' 'Put']
red and white meat,['Place']
the red and white meat,['Place']
the red and white mushroom,['Place' 'Put' 'pot']
the red and white object,['Place']
the red and white vegetable,['Place']
red and yellow object,['Move']
red apple slice,['Put']
red ball,['Pick up' 'move' 'Place' 'put' 'pick' 'place']
the red ball,['Move' 'Put']
red banana,['Place']
the red bell pepper,['Place' 'Move' 'Pick up' 'place']
red block,['Move' 'place']
the red bottle,['Move' 'Place']
red bottle,['put']
red bowl,['Pick up' 'place']
the red box,['move']
red can,['Put']
the red can,['Move' 'Put' 'Pick up' 'place']
red capsicum,['put']
the red capsicum,['Put' 'Pick up' 'put']
the red carrot,['Pick up' 'place']
red chili,['Place']
the red chili pepper,['Move']
the red cloth,['Move' 'Put']
red cloth,['Move' 'Place']
red color candy,['hold' 'place']
red color spoon,['pick' 'place']
red color tea pan,['hold' 'move']
the red control knobs,['Place']
red cup,['move' 'Place']
the red cup,['Pick up' 'put' 'Move' 'Put']
the red cylinder,['Pick up' 'place']
red donut,['Place']
the red egg,['Move']
the red eggplant,['Put']
the red food,['Put']
red fork,['Place' 'moved' 'move' 'Move' 'Pick' 'put' 'Pick up' 'bring' 'slide']
the red fork,"['Move' 'Place' 'Pick up' 'place' 'Put' 'slide' 'facing' 'put' 'picked up'
 'moved' 'Take']"
red fruit,['Pick up' 'place']
the red fruit,['pick up' 'place' 'Pick up' 'Move' 'put']
the red glass,['move']
red handle,['Move' 'hanging']
the red handle spoon,['Move']
the red handled fork,['Slide' 'touches' 'handled' 'Place' 'Put']
the red handled spoon,['Put' 'move']
the red handled utensil,['Place']
red item,['Move' 'Pickup' 'place']
the red item,['Pick up' 'place' 'Put' 'move' 'Move' 'Place']
the red jelly,['Move' 'place']
the red knife,['Place' 'Move']
red ladle,['Place']
the red measuring cup,['Move']
red meat,['Place']
the red napkin,['Move']
the red object,"['Remove' 'place' 'Pick up' 'put' 'Put' 'Place' 'Move' 'move' 'picked up'
 'moved' 'put down']"
red object,['put' 'moved' 'Move' 'place' 'is' 'pick up' 'Take' 'Place']
the red pan,['Pick up' 'place' 'Move' 'pick up' 'slide']
the red pen,['Place']
the red pepper,['Move' 'Put' 'put' 'Pick up' 'place' 'move' 'Place']
red pepper,['move' 'Place' 'Take' 'place' 'Move' 'Put' 'Remove']
the red plastic half egg,['Move']
red pot,['Move' 'Place' 'place']
the red pot,['Move' 'pick' 'put' 'Place' 'move' 'place']
red potato,['Place' 'Move']
the red rectangle,['Pull']
the red sauce,['Move']
red sauce,['Place']
the red scooper,['Place']
the red slice,['move']
the red spatula,['Move' 'Place' 'hold' 'place' 'remove' 'keep' 'move']
red spatula,['Move' 'touches']
a red spoon,['Take' 'Place']
red spoon,"['move' 'Place' 'Move' 'Pick up' 'place' 'pick' 'put' 'Put' 'can'
 'touching' 'hold' 'slide']"
the red spoon,"['Place' 'Pick up' 'place' 'Move' 'move' 'Put' 'Slide' 'touches' 'Take'
 'rotate' 'be' 'slide' 'hold' 'put']"
red spoon little bit,['move' 'place']
the red spork,['Move']
the red strawberry,['Put' 'Move' 'Place']
red strawberry,['Move' 'Put']
the red strawberry shape,['Put']
the red thing,['puts']
red thing,['Put']
red tomato,['move']
the red tomato,['Place' 'hold' 'put' 'Put']
red towel,['move' 'Pick' 'put aside' 'Move']
the red towel,['place' 'move']
red toy,['put' 'move']
the red tube,['Put']
the red tumbler,['Move']
red utensil,['move' 'Move' 'Place' 'turn']
the red utensil,['Move' 'Place']
red vegetable,['move']
the red vegetable,['Place' 'Move' 'move']
the red yam,['Place']
red-handled fork,['Move' 'Pick up' 'place']
red-handled scoop,['Move']
red/yellow object,['place' 'is']
redcube,['put']
redpepper,['put']
rest,['Place']
the right,['Move']
right,['Move' 'Pick up' 'move' 'pick up' 'set' 'place']
the right burner,['Place']
the right center edge of the table,['Place']
right corner,['Pick' 'place']
the right corner of the napkin,['Move' 'close']
the right corner of the table,['move' 'keep']
right edge of counter,['Put']
right front corner,['Place']
the right lower corner,['Put']
right of blue brush,['Move']
the right of bowl,['Move']
right of cloth,['Place']
right of orange cloth,['Move']
the right of the pot,['Place' 'Move']
the right side,['Put']
the right side near,['move' 'press']
the right side of mushroom,['hold' 'put']
right side of table,['Move']
the right side of the mushroom,['Move']
right side of the napkin,['put']
right side of the pan,['Move']
the right side of the pot,['Put']
right side of towel,['pick up' 'place']
right upper corner,['Move' 'place']
ring,['Place']
the roll,['hold' 'place']
the roller,['Take' 'place']
salmon,['pick up' 'place' 'Pick up' 'put' 'move' 'Place' 'reaching']
salt,['flip' 'put' 'Place']
the salt,['Put' 'put']
the salt bottle,['Place']
the salt can,['Move']
the salt cellar,['Pick up' 'put']
the salt container,['Place']
the salt shaker,['Pick up' 'put' 'Put']
salt shaker,['Place']
saltcontainer,['put']
saltshaker,['Place']
same place,['pick' 'place']
the sapodila,['hold' 'place']
sauce bottle,['Placing']
sauce pan,['Put' 'Move']
the sauce pan,['Move' 'Put']
sauce pot,['Move' 'Place']
saucepan,['Move' 'Pickup' 'put' 'Place' 'place']
the saucepan,['Place' 'move' 'Pick up' 'place' 'Move']
saucepot,['Move']
sausage,['put' 'Pick up' 'place' 'Move']
the sausage,['Move' 'Put' 'Pick' 'place' 'Pick up']
the sause pan,['move']
scissors,['pick up' 'put into']
the scoop,['move' 'Move' 'Put' 'Place' 'put' 'place']
scoop,['Move' 'move' 'Pick up']
screwdriver,['pick']
the scrub,['Move']
scrub brush,['Place']
the scrub brush,['Place' 'Move' 'Put']
scrubber,['Put' 'Move']
the scrubber,['Place' 'Move' 'Put']
semispherical orange and white item,['Put']
shaker,['Put']
the shaker,['Put' 'Pick up' 'place' 'Move']
shelf,['Move']
the shovel,['Move']
showing,['is']
the shrimp,['Place']
the side of the blue rectangle,['Put']
the side of the pot,['Put']
silver,['Place' 'Move']
the silver bot,['Move']
the silver bowl,"['Place' 'Pick up' 'move' 'Move' 'Put' 'picking up' 'moving' 'place'
 'Grab' 'grabbing' 'putting' 'pick up' 'close' 'moved' 'set' 'grabbed']"
silver bowl,['Move' 'Put' 'Place' 'put' 'move' 'slide' 'place' 'is']
silver container,['Move' 'place']
the silver dish,['Bring']
silver half,['Pick up' 'place']
silver pan,['Move' 'Place' 'put' 'slide' 'Put' 'Set']
the silver pan,"['Place' 'Put' 'Move' 'slide' 'put' 'Slide' 'touches' 'handled' 'rotate'
 'picked up' 'moved' 'Pick up' 'place']"
the silver pot,"['Place' 'Move' 'Pick up' 'place' 'Put' 'touches' 'slide' 'move' 'Pick'
 'off' 'Take' 'put' 'Remove' 'Bring']"
silver pot,"['Place' 'Move' 'touch' 'Put' 'Pick up' 'place' 'slide' 'Remove' 'move'
 'be' 'pick up' 'remove']"
silver strainer,['Put']
the silver vessel,['Take' 'place' 'Move' 'Place']
silver vessel,['Take' 'place' 'Move' 'move']
the silverware,['Move']
sink,['put' 'flip']
the skillet,['Place']
slice,['place' 'placed']
the slice,['Move' 'Take' 'place']
the slice of apple,['Move']
slightly,['Move' 'place']
the sliver pot,['Move']
